table_type,table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_uuid,0,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,geo_cd_part,1,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,hdrcrtyrmo_part,2,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,base_order_uuid,3,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,node_uuid,4,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,reference_document_uuid,5,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,check_partner_authorization_cd,6,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,credit_control_area_cd,7,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,distribution_channel_cd,8,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,division_cd,9,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,sales_organization_nbr,10,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_overall_status_cd,11,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_rejection_status_cd,12,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_type_cd,13,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_create_dt,14,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,so_header_nbr,15,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,billing_block_header_cd,16,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,business_area_cd,17,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,company_cd,18,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contact_nm,19,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contract_order_type_ind,20,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contract_valid_end_dt,21,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,contract_valid_start_dt,22,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,controlling_area_cd,23,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,country_cd,24,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,credit_management_document_release_dt,25,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,credit_management_representative_group_cd,26,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,credit_review_dt,27,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,credit_review_ind,28,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_account_assignment_group_cd,29,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_account_type_cd,30,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_business_type_cd,31,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_channel_cd,32,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_credit_account_cd,33,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_department_nbr,34,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_distribution_center_cd,35,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_group_cd,36,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_mark_for_store_cd,37,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_po_dt,38,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_po_nbr,39,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_po_type_cd,40,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_reference_cd,41,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_requested_delivery_dt,42,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_sold_to_cd,43,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_sub_channel_cd,44,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_tax_classification_cd,45,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customer_vendor_internal_reference_nbr,46,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,customs_broker_nbr,47,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,delivery_header_block_cd,48,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,fiscal_year_variant_nbr,49,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,incoterms_location_1_txt,50,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,incoterms_part_2_cd,51,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,incoterms_version_nbr,52,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,internal_order_nbr,53,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,international_commercial_terms_cd,54,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,iso_country_cd,55,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,key_city_priority_cd,56,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,last_changed_on_dt,57,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,management_representative_id,58,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,material_availability_dt,59,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,order_cancel_dt,60,,YES,date,DATE,,,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,overall_delivery_status_cd,61,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,payment_method_cd,62,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,payment_terms_cd,63,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
MANAGED,non_published_domain,customer_sales_order,sales_order_header,posting_period_cd,64,,YES,string,STRING,0,0,,,,,,,,NO,,,,,,,NO,,NO,NO,,YES,,
